z1,T_K,P_kPa
0.85,150.151,884.765
0.85,152.321,972.624
0.85,154.742,1077.55
0.85,157.443,1203.5
0.85,160.323,1348.41
0.85,163.238,1506.62
0.85,166.185,1678.55
0.85,169.156,1864.44
0.85,172.145,2064.37
0.85,175.146,2278.18
0.85,178.15,2505.46
0.85,181.151,2745.52
0.85,184.141,2997.36
0.85,187.11,3259.63
0.85,190.051,3530.6
0.85,192.955,3808.2
0.85,195.814,4089.92
0.85,198.618,4372.87
0.85,201.36,4653.71
0.85,204.03,4928.65
0.85,206.62,5193.44
0.85,209.12,5443.28
0.85,211.517,5672.75
0.85,213.801,5875.75
0.85,215.953,6045.31
0.85,217.953,6173.4
0.85,219.772,6250.77
0.85,221.373,6266.62
0.85,222.7,6208.4
0.85,223.678,6061.63
0.85,224.195,5809.98
0.85,224.093,5435.8
0.85,223.133,4921.63
0.85,220.958,4253.52
0.85,218.264,3661.04
0.85,220.958,4253.52
0.85,223.184,4941.88
0.85,224.109,5450.96
0.85,223.184,4941.88
0.85,221.058,4279.24
0.85,218.378,3683.17
0.85,221.058,4279.24
0.85,223.257,4971.76
0.85,224.131,5473.26
0.85,223.257,4971.76
0.85,221.205,4317.25
0.85,218.544,3715.9
0.85,221.205,4317.25
0.85,223.362,5015.93
0.85,224.16,5506.11
0.85,223.362,5015.93
0.85,221.417,4373.64
0.85,218.786,3764.42
0.85,221.417,4373.64
0.85,223.508,5081.44
0.85,224.196,5554.56
0.85,223.508,5081.44
0.85,221.721,4457.65
0.85,219.138,3836.74
0.85,221.721,4457.65
0.85,223.705,5179.05
