T_K,x1,y1,P_kPa
368,0.1,0.371236,121.322
368,0.14,0.44834,133.124
368,0.18,0.50843,143.771
368,0.22,0.557417,153.533
368,0.26,0.598784,162.615
368,0.3,0.634714,171.171
368,0.34,0.666637,179.321
368,0.38,0.695531,187.157
368,0.42,0.722083,194.751
368,0.46,0.746789,202.159
368,0.5,0.770014,209.428
368,0.54,0.792034,216.592
368,0.58,0.813059,223.681
368,0.62,0.83325,230.719
368,0.66,0.852735,237.723
368,0.7,0.871615,244.71
368,0.74,0.88997,251.692
368,0.78,0.907865,258.679
368,0.82,0.925353,265.68
368,0.86,0.942477,272.701
368,0.9,0.959271,279.749
368,0.94,0.975767,286.827
368,0.98,0.991987,293.94
378,0.02,0.106915,131.649
378,0.06,0.258188,152.468
378,0.1,0.361575,170.535
378,0.14,0.438071,186.527
378,0.18,0.498027,200.942
378,0.22,0.547127,214.149
378,0.26,0.588747,226.425
378,0.3,0.625012,237.981
378,0.34,0.657326,248.979
378,0.38,0.686648,259.544
378,0.42,0.713655,269.774
378,0.46,0.738839,279.746
378,0.5,0.762562,289.521
378,0.54,0.785096,299.148
378,0.58,0.806651,308.666
378,0.62,0.827387,318.106
378,0.66,0.847432,327.494
378,0.7,0.866886,336.851
378,0.74,0.885829,346.193
378,0.78,0.904325,355.534
378,0.82,0.922427,364.886
378,0.86,0.940179,374.257
378,0.9,0.957614,383.656
378,0.94,0.974763,393.088
378,0.98,0.991649,402.559
